Year,Annual Ceiling,Number of Admitted Refugees,Difference,,,,
1975,,146158,,,,avg_diff,19858.17391
1976,,27206,,,,,
1977,,19946,,,,,
1978,,36507,,,,,
1979,,111363,,,,,
1980,231700,207116,24584,,,,
1981,217000,159252,57748,,,,
1982,140000,98096,41904,,,,
1983,90000,61218,28782,,,,
1984,72000,70393,1607,,,,
1985,70000,67704,2296,,,,
1986,67000,62146,4854,,,,
1987,70000,64528,5472,,,,
1988,87500,76483,11017,,,,
1989,116500,107070,9430,,,,
1990,125000,122066,2934,,,,
1991,131000,113389,17611,,,,
1992,131000,132531,-1531,,,,
1993,142000,119448,22552,,,,
1994,121000,112981,8019,,,,
1995,112000,99974,12026,,,,
1996,90000,76403,13597,,,,
1997,78000,70488,7512,,,,
1998,83000,77080,5920,,,,
1999,91000,85525,5475,,,,
2000,90000,73147,16853,,,,
2001,80000,69886,10114,,,,
2002,70000,27131,42869,,,,
2003,70000,28403,41597,,,,
2004,70000,52873,17127,,,,
2005,70000,53813,16187,,,,
2006,70000,41223,28777,,,,
2007,70000,48282,21718,,,,
2008,80000,60191,19809,,,,
2009,80000,74654,5346,,,,
2010,80000,73311,6689,,,,
2011,80000,56424,23576,,,,
2012,76000,58238,17762,,,,
2013,70000,69926,74,,,,
2014,70000,69987,13,,,,
2015,70000,69933,67,,,,
2016,85000,84994,6,,,,
2017,50000,53716,-3716,,,,
2018,45000,22655,22345,,,,
2019,30000,30000,0,,,,
2020,18000,11814,6186,,,,
2021,62500,11411,51089,,,,
2022,125000,25465,99535,,,,
2023,125000,60014,64986,,,,
2024,125000,100034,24966,,,,
2025,125000,27308,97692,,,,
