Fiscal Year,Africa,Asia,Europe Central Asia,Former Soviet Union,Kosovo,Latin America Caribbean,Near East Sout Asia,PSI,Total,Annual Average
1975,0,135000,1947,6211,0,3000,0,0,146158,72155.31373
1976,0,15000,1756,7450,0,3000,0,0,27206,72155.31373
1977,0,7000,1755,8191,0,3000,0,0,19946,72155.31373
1978,0,20574,2245,10688,0,3000,0,0,36507,72155.31373
1979,0,76521,3393,24449,0,7000,0,0,111363,72155.31373
1980,955,163799,5025,28444,0,6662,2231,0,207116,72155.31373
1981,2119,131139,6704,13444,0,2017,3829,0,159252,72155.31373
1982,3412,73755,11109,2760,0,580,6480,0,98096,72155.31373
1983,2645,39245,11867,1342,0,691,5428,0,61218,72155.31373
1984,2749,51978,10096,721,0,150,4699,0,70393,72155.31373
1985,1951,49962,9233,623,0,151,5784,0,67704,72155.31373
1986,1322,45482,8503,799,0,131,5909,0,62146,72155.31373
1987,1990,40099,8396,3699,0,323,10021,0,64528,72155.31373
1988,1593,35371,7510,20411,0,2497,8368,733,76483,72155.31373
1989,1902,45722,8752,39602,0,2604,6938,1550,107070,72155.31373
1990,3453,51598,6094,50628,0,2305,4979,3009,122066,72155.31373
1991,4420,53522,6837,39226,0,2253,5342,1789,113389,72155.31373
1992,5470,51899,2915,61397,0,3065,6903,882,132531,72155.31373
1993,6967,49817,2582,48773,0,4071,6987,251,119448,72155.31373
1994,5860,43564,7707,43854,0,6156,5840,0,112981,72155.31373
1995,4827,36987,10070,35951,0,7629,4510,0,99974,72155.31373
1996,7604,19321,12145,29816,0,3550,3967,0,76403,72155.31373
1997,6065,8594,21401,27331,0,2996,4101,0,70488,72155.31373
1998,6887,10854,30842,23557,0,1627,3313,0,77080,72155.31373
1999,13043,10206,24497,17410,14161,2110,4098,0,85525,72155.31373
2000,17561,4561,22561,15103,0,3232,10129,0,73147,72155.31373
2001,19020,4163,15794,15978,0,2975,11956,0,69886,72155.31373
2002,2551,3512,5459,9969,0,1934,3706,0,27131,72155.31373
2003,10714,1724,2506,8744,0,455,4260,0,28403,72155.31373
2004,29104,8084,9254,0,0,3577,2854,0,52873,72155.31373
2005,20745,12076,11316,0,0,6699,2977,0,53813,72155.31373
2006,18126,5659,10456,0,0,3264,3718,0,41223,72155.31373
2007,17483,15643,4560,0,0,2976,7620,0,48282,72155.31373
2008,8935,19489,2343,0,0,4277,25147,0,60191,72155.31373
2009,9670,19850,1997,0,0,4857,38280,0,74654,72155.31373
2010,13305,17716,1526,0,0,4982,35782,0,73311,72155.31373
2011,7685,17367,1228,0,0,2976,27168,0,56424,72155.31373
2012,10608,14366,1129,0,0,2078,30057,0,58238,72155.31373
2013,15980,16537,580,0,0,4439,32390,0,69926,72155.31373
2014,17476,14784,959,0,0,4318,32450,0,69987,72155.31373
2015,22472,18469,2363,0,0,2050,24579,0,69933,72155.31373
2016,31624,12518,3957,0,0,1340,35555,0,84994,72155.31373
2017,20232,5173,5205,0,0,1688,21418,0,53716,72155.31373
2018,10582,3671,3612,0,0,959,3848,0,22672,72155.31373
2019,16366,5030,4994,0,0,809,2801,0,30000,72155.31373
2020,4160,2129,2578,0,0,948,1999,0,11814,72155.31373
2021,6219,776,983,0,0,400,3033,0,11411,72155.31373
2022,11358,2215,2351,0,0,2485,7056,0,25465,72155.31373
2023,24481,6262,2765,0,0,6312,20194,0,60014,72155.31373
2024,34017,7540,3180,0,0,25358,29939,0,100034,72155.31373
2025,8662,2971,566,0,0,5106,10003,0,27308,72155.31373
